                                     | Core 0    
  Instructions                       |    1810449
  Cycles                             |    1388520
  IPC                                |       1.30
  Time (ns)                          |     522000
  Idle time (ns)                     |        -36
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      98358
  num incorrect                      |       2522
  misprediction rate                 |      2.50%
  mpki                               |       1.39
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     185086
    num misses                       |         82
    miss rate                        |      0.04%
    mpki                             |       0.05
  D-TLB                              |           
    num accesses                     |     878756
    num misses                       |         67
    miss rate                        |      0.01%
    mpki                             |       0.04
  L2 TLB                             |           
    num accesses                     |        149
    num misses                       |        147
    miss rate                        |     98.66%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     185086
    num cache misses                 |       1218
    miss rate                        |      0.66%
    mpki                             |       0.67
  Cache L1-D                         |           
    num cache accesses               |     878756
    num cache misses                 |       2108
    miss rate                        |      0.24%
    mpki                             |       1.16
  Cache L2                           |           
    num cache accesses               |       3614
    num cache misses                 |       3241
    miss rate                        |     89.68%
    mpki                             |       1.79
  Cache L3                           |           
    num cache accesses               |       3529
    num cache misses                 |       3240
    miss rate                        |     91.81%
    mpki                             |       1.79
DRAM summary                         |           
  num dram accesses                  |       3239
  average dram access latency (ns)   |      69.08
  average dram queueing delay        |      15.65
  average dram bandwidth utilization |      5.23%
Coherency Traffic                    |           
  num loads from dram                |       1325
  num loads from dram cache          |          0
  num loads from remote cache        |          0
