                                     | Core 0    
  Instructions                       |    1810659
  Cycles                             |    1390648
  IPC                                |       1.30
  Time (ns)                          |     522800
  Idle time (ns)                     |        -52
  Idle time (%)                      |      -0.0%
Branch predictor stats               |           
  num correct                        |      98379
  num incorrect                      |       2521
  misprediction rate                 |      2.50%
  mpki                               |       1.39
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |     185104
    num misses                       |         82
    miss rate                        |      0.04%
    mpki                             |       0.05
  D-TLB                              |           
    num accesses                     |     878878
    num misses                       |         66
    miss rate                        |      0.01%
    mpki                             |       0.04
  L2 TLB                             |           
    num accesses                     |        148
    num misses                       |        146
    miss rate                        |     98.65%
    mpki                             |       0.08
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |     185104
    num cache misses                 |       1224
    miss rate                        |      0.66%
    mpki                             |       0.68
  Cache L1-D                         |           
    num cache accesses               |     878878
    num cache misses                 |       2126
    miss rate                        |      0.24%
    mpki                             |       1.17
  Cache L2                           |           
    num cache accesses               |       3639
    num cache misses                 |       3250
    miss rate                        |     89.31%
    mpki                             |       1.79
  Cache L3                           |           
    num cache accesses               |       3539
    num cache misses                 |       3250
    miss rate                        |     91.83%
    mpki                             |       1.79
DRAM summary                         |           
  num dram accesses                  |       3249
  average dram access latency (ns)   |      68.76
  average dram queueing delay        |      15.33
  average dram bandwidth utilization |      5.24%
Coherency Traffic                    |           
  num loads from dram                |       1328
  num loads from dram cache          |          0
  num loads from remote cache        |          0
